agency_id,fare_id,price,payment_method,currency_type,transfers
43,43-T0-BORDO,0,0,EUR,0
43,43-T0-PREPAGO,0,1,EUR,0
43,43-T1-BORDO,1.3,0,EUR,0
43,43-T1-PREPAGO,0.85,1,EUR,0
43,43-T1A-BORDO,0.85,0,EUR,0
43,43-T2-BORDO,2.7,0,EUR,0
43,43-T2-PREPAGO,1.55,1,EUR,0
43,43-T3-BORDO,4.65,0,EUR,0
43,43-T3-PREPAGO,3.1,1,EUR,0
43,43-T4A-BORDO,3.2,0,EUR,0
43,43-T4B-BORDO,3.7,0,EUR,0
43,43-T5-BORDO,4.65,0,EUR,0
43,43-T5-PREPAGO,3.1,1,EUR,0
44,44-T0-BORDO,0,0,EUR,0
44,44-T0-PREPAGO,0,1,EUR,0
44,44-T1-BORDO,1.3,0,EUR,0
44,44-T1-PREPAGO,0.85,1,EUR,0
44,44-T1A-BORDO,0.85,0,EUR,0
44,44-T2-BORDO,2.7,0,EUR,0
44,44-T2-PREPAGO,1.55,1,EUR,0
44,44-T3-BORDO,4.65,0,EUR,0
44,44-T3-PREPAGO,3.1,1,EUR,0
44,44-T4A-BORDO,3.2,0,EUR,0
44,44-T4B-BORDO,3.7,0,EUR,0
44,44-T5-BORDO,4.65,0,EUR,0
44,44-T5-PREPAGO,3.1,1,EUR,0
42,42-T0-BORDO,0,0,EUR,0
42,42-T0-PREPAGO,0,1,EUR,0
42,42-T1-BORDO,1.3,0,EUR,0
42,42-T1-PREPAGO,0.85,1,EUR,0
42,42-T1A-BORDO,0.85,0,EUR,0
42,42-T2-BORDO,2.7,0,EUR,0
42,42-T2-PREPAGO,1.55,1,EUR,0
42,42-T3-BORDO,4.65,0,EUR,0
42,42-T3-PREPAGO,3.1,1,EUR,0
42,42-T4A-BORDO,3.2,0,EUR,0
42,42-T4B-BORDO,3.7,0,EUR,0
42,42-T5-BORDO,4.65,0,EUR,0
42,42-T5-PREPAGO,3.1,1,EUR,0
41,41-T0-BORDO,0,0,EUR,0
41,41-T0-PREPAGO,0,1,EUR,0
41,41-T1-BORDO,1.3,0,EUR,0
41,41-T1-PREPAGO,0.85,1,EUR,0
41,41-T1A-BORDO,0.85,0,EUR,0
41,41-T2-BORDO,2.7,0,EUR,0
41,41-T2-PREPAGO,1.55,1,EUR,0
41,41-T3-BORDO,4.65,0,EUR,0
41,41-T3-PREPAGO,3.1,1,EUR,0
41,41-T4A-BORDO,3.2,0,EUR,0
41,41-T4B-BORDO,3.7,0,EUR,0
41,41-T5-BORDO,4.65,0,EUR,0
41,41-T5-PREPAGO,3.1,1,EUR,0
