agency_id,line_id,line_short_name,line_long_name,route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,path_type,circular,school
41,1001,1001,Alfragide (Estr Seminario) - Reboleira (Estação),1001_0,1001,Alfragide (Estr Seminario) - Reboleira (Estação),3,C61D23,FFFFFF,1,0,0
41,1002,1002,Reboleira (Estação) | Circular via Alfragide (Centro comercial ) e Amadora (Estação Sul),1002_0,1002,Reboleira (Estação) | Circular via Alfragide (Centro comercial ) e Amadora (Estação Sul),3,C61D23,FFFFFF,1,1,0
41,1003,1003,Amadora (Estação Norte) - Amadora Este (Metro),1003_0,1003,Amadora (Estação Norte) - Amadora Este (Metro),3,C61D23,FFFFFF,1,0,0
41,1004,1004,Amadora (Estação Norte) | Circular via Moinhos da Funcheira,1004_0,1004,Amadora (Estação Norte) via Moinhos da Funcheira | Circular,3,C61D23,FFFFFF,1,1,0
41,1005,1005,Amadora (Estação Norte) - UBBO,1005_0,1005,Amadora (Estação Norte) - UBBO,3,C61D23,FFFFFF,1,0,0
41,1005,1005,Amadora (Estação Norte) - UBBO,1005_1,1005,Casal São Brás - Amadora (Estação Norte),3,C61D23,FFFFFF,3,0,0
41,1005,1005,Amadora (Estação Norte) - UBBO,1005_2,1005,Amadora (Estação Norte) | Circular madrugada,3,C61D23,FFFFFF,3,1,0
41,1006,1006,Amadora (Estação Norte) - UBBO | Noturna,1006_0,1006,Amadora (Estação Norte) - UBBO | Noturna,3,C61D23,FFFFFF,1,0,0
41,1006,1006,Amadora (Estação Norte) - UBBO | Noturna,1006_1,1006,Amadora (Estação Norte) - Moinhos Funcheira (Rotunda) | Noturna,3,C61D23,FFFFFF,3,0,0
41,1008,1008,Amadora Este (Metro) | Circular,1008_0,1008,Amadora Este (Metro) | Circular,3,3D85C6,FFFFFF,1,1,0
41,1009,1009,Amadora (Hospital) | Circular Via Mina e Venteira,1009_0,1009,Amadora (Hospital) Via Mina e Venteira | Circular,3,3D85C6,FFFFFF,1,1,0
41,1010,1010,Alfornelos (Metro) - Casal da Mira,1010_0,1010,Alfornelos (Metro) - Casal da Mira,3,C61D23,FFFFFF,1,0,0
41,1011,1011,Brandoa (Largo) - Reboleira (Metro),1011_0,1011,Brandoa (Largo) - Reboleira (Metro),3,C61D23,FFFFFF,1,0,0
41,1011,1011,Brandoa (Largo) - Reboleira (Metro),1011_1,1011,Brandoa (Largo) - Reboleira (Metro) | Circular,3,C61D23,FFFFFF,3,1,0
41,1012,1012,Alfornelos Metro | Circular via Brandoa,1012_0,1012,Alfornelos Metro via Brandoa | Circular,3,3D85C6,FFFFFF,1,1,0
41,1013,1013,Reboleira (Estação) - Urbanização Sky City via Casas do Lago,1013_0,1013,Reboleira (Estação) - Urbanização Sky City via Casas do Lago,3,C61D23,FFFFFF,1,0,0
41,1014,1014,Amadora (Cemitério) - Vila Chã via Casas do Lago,1014_0,1014,Amadora (Cemitério) - Vila Chã via Casas do Lago,3,C61D23,FFFFFF,1,0,0
41,1015,1015,Reboleira (Estação) | Circular via Damaia,1015_0,1015,Reboleira (Estação) via Damaia | Circular,3,3D85C6,FFFFFF,1,1,0
41,1101,1101,Alfragide (Centro Comercial) - Algés (Estação),1101_0,1101,Alfragide (Centro Comercial) - Algés (Estação),3,C61D23,FFFFFF,1,0,0
41,1101,1101,Alfragide (Centro Comercial) - Algés (Estação),1101_1,1101,Alfragide (Centro Comercial) - Algés (Estação) via Carnaxide Esc. Sec,3,C61D23,FFFFFF,3,0,0
41,1103,1103,Algés (Estação) - Queijas (PSP),1103_0,1103,Algés (Estação) - Queijas (PSP),3,C61D23,FFFFFF,1,0,0
41,1104,1104,Algés | Circular via Centro Histórico,1104_0,1104,Algés | Circular via Centro Histórico,3,3D85C6,FFFFFF,1,1,0
41,1105,1105,Algés (Estação) - Queluz Baixo (Centro Comercial),1105_0,1105,Algés (Estação) - Queluz Baixo (Centro Comercial),3,C61D23,FFFFFF,1,0,0
41,1105,1105,Algés (Estação) - Queluz Baixo (Centro Comercial),1105_1,1105,Carnaxide (Escola Secundária) - Queluz Baixo (Centro Comercial),3,C61D23,FFFFFF,3,0,0
41,1106,1106,Queluz Baixo (Centro Comercial) - Algés (Estação),1106_0,1106,Queluz Baixo (Centro Comercial) - Algés (Estação),3,C61D23,FFFFFF,1,0,0
41,1106,1106,Queluz Baixo (Centro Comercial) - Algés (Estação),1106_1,1106,Algés (Estação) - Queijas (PSP),3,C61D23,FFFFFF,3,0,0
41,1107,1107,Algés (Estação) - Queluz Baixo via Queijas,1107_0,1107,Algés (Estação) - Queluz Baixo via Queijas,3,C61D23,FFFFFF,1,0,0
41,1108,1108,Algés - Carnaxide (Parque Suécia) via WTC,1108_0,1108,Algés - Carnaxide (Parque Suécia) via WTC,3,C61D23,FFFFFF,1,0,0
41,1109,1109,Carnaxide | Circular via Outurela,1109_0,1109,Carnaxide via Outurela | Circular,3,3D85C6,FFFFFF,1,1,0
41,1110,1110,Carnaxide | Circular via Queijas,1110_0,1110,Carnaxide via Queijas | Circular,3,C61D23,FFFFFF,1,1,0
41,1111,1111,Massamá-Barcarena (Estação Sul) - Barcarena (Fábrica Pólvora),1111_0,1111,Massamá-Barcarena (Estação Sul) - Barcarena (Fábrica Pólvora),3,C61D23,FFFFFF,1,0,0
41,1113,1113,Algés (Estação) | Circular via Cruz Quebrada e Linda-a-Velha,1113_0,1113,Algés (Estação) via Cruz Quebrada e Linda-a-Velha | Circular,3,3D85C6,FFFFFF,1,1,0
41,1114,1114,Algés (Estação) | Circular via Linda-a-Velha e Miraflores,1114_0,1114,Algés (Estação) via Linda-a-Velha e Miraflores | Circular,3,3D85C6,FFFFFF,1,1,0
41,1115,1115,Caxias (Ped Italiana) - Lage (Centro),1115_0,1115,Caxias (Ped Italiana) - Lage (Centro),3,C61D23,FFFFFF,1,0,0
41,1115,1115,Caxias (Ped Italiana) - Lage (Centro),1115_1,1115,Caxias (Ped Italiana) - Lage (Centro) via Escolas,3,C61D23,FFFFFF,3,0,0
41,1115,1115,Caxias (Ped Italiana) - Lage (Centro),1115_2,1115,Caxias (Estação) - Paço de Arcos (Estação Norte),3,C61D23,FFFFFF,3,0,0
