stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,wheelchair_boarding,location_type,parent_station,platform_code
010001,010001,Rua Carlos Manuel Rodrigues Francisco (Escola),Rua Carlos Manuel Rodrigues Francisco ( Escola ),38.754244,-8.959557,0,0,,
010002,010002,R Carlos M. Francisco 229 (Escola Monte Novo),Rua Carlos M. Francisco 229 ( Escola Monte Novo ),38.754572,-8.959615,0,0,,
010005,010005,ALCOCHETE (R CIPRIÃO FIGUEIREDO),Alcochete ( Rua Ciprião Figueiredo ),38.754175,-8.961806,0,0,,
010007,010007,ALCOCHETE (R LEITE CUNHA) BIBLIOTECA,Alcochete ( Rua Leite Cunha ) Biblioteca,38.753196,-8.963687,0,0,,
010008,010008,ALCOCHETE (R LEITE CUNHA) BIBLIOTECA,Alcochete ( Rua Leite Cunha ) Biblioteca,38.753271,-8.963504,0,0,,
010009,010009,ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I,Alcochete ( Avenida Restauração ) Escola Básica Manuel Primeiro,38.750706,-8.962749,0,0,,
010010,010010,ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I,Alcochete ( Avenida Restauração ) Escola Básica Manuel Primeiro,38.751002,-8.962783,0,0,,
010011,010011,ALCOCHETE (R JOSÉ GRILO EVANGELISTA),Alcochete ( Rua José Grilo Evangelista ),38.748855,-8.962159,0,0,,
010012,010012,ALCOCHETE (R JOSÉ GRILO EVANGELISTA),Alcochete ( Rua José Grilo Evangelista ),38.748866,-8.961929,0,0,,
010013,010013,ALCOCHETE (R COOPERAÇÃO 27),Alcochete ( Rua Cooperação 27 ),38.748733,-8.966155,0,0,,
010014,010014,ALCOCHETE (R COOPERAÇÃO 27),Alcochete ( Rua Cooperação 27 ),38.7487,-8.965973,0,0,,
010015,010015,ALCOCHETE (R LIBERDADE) ESCOLA VALBOM,Alcochete ( Rua Liberdade ) Escola Valbom,38.748758,-8.967106,0,0,,
010016,010016,ALCOCHETE (R LIBERDADE) ESCOLA VALBOM,Alcochete ( Rua Liberdade ) Escola Valbom,38.749364,-8.966956,0,0,,
010017,010017,ALCOCHETE (AV D MANUEL I 25),Alcochete ( Avenida Dom Manuel Primeiro 25 ),38.750122,-8.96804,0,0,,
010018,010018,ALCOCHETE (AV D MANUEL I 25),Alcochete ( Avenida Dom Manuel Primeiro 25 ),38.749981,-8.967987,0,0,,
010019,010019,ALCOCH (AV INF D JOÃO) PRAIA MOINHOS,Álcochete ( Avenida Infante Dom João ) Praia Moinhos,38.748365,-8.970791,0,0,,
010021,010021,PASSEIO CARAVELAS (FÓRUM ALCOCHETE),Passeio Caravelas ( Fórum Alcochete ),38.746655,-8.971506,0,0,,
010023,010023,ALCOCHETE (R 25 DE ABRIL 8),Alcochete ( Rua 25 De Abril Número 8 ),38.747993,-8.969371,0,0,,
010025,010025,ALCOCHETE (R Mª TERESA NORONHA),Alcochete ( Rua Maria Teresa Noronha ),38.75266,-8.961294,0,0,,
010027,010027,ALCOCHETE (R CARLOS M ROD FRANCISCO 408),Alcochete ( Rua Carlos M Rodrigo Francisco 408 ),38.753259,-8.95813,0,0,,
010028,010028,ALCOCHETE (R CARLOS M ROD FRANCISCO 408),Alcochete ( Rua Carlos M Rodrigo Francisco 408 ),38.753307,-8.958037,0,0,,
010029,010029,ALCOCHETE (R LÁPARO) SUPERMERCADO,Alcochete ( Rua Láparo ) Supermercado,38.751255,-8.956741,0,0,,
010030,010030,ALCOCHETE (R LÁPARO) SUPERMERCADO,Alcochete ( Rua Láparo ) Supermercado,38.751242,-8.956625,0,0,,
010031,010031,ALCOCHETE (R LÁPARO) ESTALEIRO MUN,Alcochete ( Rua Láparo ) Estaleiro Municipal,38.749842,-8.953465,0,0,,
010032,010032,ALCOCHETE (R LÁPARO) ESTALEIRO MUN,Alcochete ( Rua Láparo ) Estaleiro Municipal,38.749911,-8.953472,0,0,,
010033,010033,ALCOCHETE (R LÁPARO X R BRACIEIRA),Alcochete ( Cruzamento Entre ( Rua Láparo ) E Rua Bracieira ),38.748189,-8.951511,0,0,,
010034,010034,ALCOCHETE (R LÁPARO X R BRACIEIRA),Alcochete ( Cruzamento Entre ( Rua Láparo ) E Rua Bracieira ),38.748278,-8.951503,0,0,,
010035,010035,ALCOCHETE (LAGOA LÁPARO),Alcochete ( Lagoa Láparo ),38.746343,-8.948745,0,0,,
010036,010036,ALCOCHETE (LAGOA LÁPARO),Alcochete ( Lagoa Láparo ),38.745936,-8.948375,0,0,,
010037,010037,PQ INDUSTRIAL BATEL (R ALFAZEMAS),Parque Industrial Batel ( Rua Alfazemas ),38.745522,-8.94605,0,0,,
010038,010038,Rua das Alfazemas (X) Rua dos Alecrins,Cruzamento Entre ( Rua Das Alfazemas ) E Rua Dos Alecrins,38.745434,-8.945954,0,0,,
010039,010039,R DOS DAMASCOS,Rua Dos Damascos,38.748707,-8.945941,0,0,,
010040,010040,R DOS DAMASCOS,Rua Dos Damascos,38.748758,-8.945841,0,0,,
010041,010041,Acesso à Rua dos Damascos (Supermercado),Acesso À Rua Dos Damascos ( Supermercado ),38.751652,-8.94458,0,0,,
010043,010043,ALCOCHETE (AV BARRIS) CENTRO SAÚDE,Alcochete ( Avenida Barris ) Centro Saúde,38.748435,-8.964307,0,0,,
010045,010045,AV DOS BARRIS - PQ DESP DO VALBOM (ROT),Avenida Dos Barris - Parque Desportivo Do Valbom ( Rotunda ),38.745904,-8.96679,0,0,,
010047,010047,R VALE FIGUEIRA (CASAS NOVAS),Rua Vale Figueira ( Casas Novas ),38.740462,-8.960715,0,0,,
010048,010048,R VALE FIGUEIRA (CASAS NOVAS),Rua Vale Figueira ( Casas Novas ),38.74049,-8.960615,0,0,,
010049,010049,ESTR LAGOA DA CHEIA AGROPECUÁRIA,Estrada Lagoa Da Cheia Agropecuária,38.735205,-8.956538,0,0,,
010050,010050,ESTR LAGOA DA CHEIA AGROPECUÁRIA,Estrada Lagoa Da Cheia Agropecuária,38.735227,-8.956456,0,0,,
010051,010051,ESTR LAGOA DA CHEIA 610,Estrada Lagoa Da Cheia 610,38.732272,-8.954484,0,0,,
010052,010052,ESTR LAGOA DA CHEIA 610,Estrada Lagoa Da Cheia 610,38.732396,-8.954452,0,0,,
010053,010053,ESTR DOS MALMEQUERES 316,Estrada Dos Mal-me-queres 316,38.731476,-8.956327,0,0,,
010054,010054,ESTR DOS MALMEQUERES 316,Estrada Dos Mal-me-queres 316,38.731377,-8.956669,0,0,,
010055,010055,R FUTEBOL CLUBE S FRANCISCO (CERCAL),Rua Futebol Clube São Francisco ( Cercal ),38.732838,-8.960893,0,0,,
010056,010056,R FUTEBOL CLUBE S FRANCISCO (CERCAL),Rua Futebol Clube São Francisco ( Cercal ),38.732718,-8.960852,0,0,,
010057,010057,R FUTEBOL CLUBE S FRANC X R ANT ALEIXO 1,Cruzamento Entre ( Rua Futebol Clube São Francisco ) E Rua António Aleixo - Um,38.732284,-8.970956,0,0,,
010058,010058,R FUTEBOL CLUBE S FRANC X R ANT ALEIXO 1,Cruzamento Entre ( Rua Futebol Clube São Francisco ) E Rua António Aleixo - Um,38.732255,-8.970549,0,0,,
010059,010059,S FRANCISCO (EN 119 31),São Francisco ( Estrada Nacional 119 31 ),38.732385,-8.972425,0,0,,
010061,010061,S FRANCISCO (PRAÇA DAS AVES DO TEJO),São Francisco ( Praça Das Aves Do Tejo ),38.731198,-8.973869,0,0,,
010062,010062,S FRANCISCO (PRAÇA DAS AVES DO TEJO),São Francisco ( Praça Das Aves Do Tejo ),38.731293,-8.97383,0,0,,
010063,010063,AV CORVO MARINHO URB VILLAS DO DUQUE,Avenida Corvo Marinho Urbanização Villas Do Duque,38.728616,-8.973287,0,0,,
010064,010064,Urbanização Villas do Duque (Fte Espaço Comercial),Urbanização Villas Do Duque ( Frente Espaço Comercial ),38.728807,-8.973181,0,0,,
010066,010066,S FRANCISCO (EN 119 114),São Francisco ( Estrada Nacional 119 114 ),38.731723,-8.972361,0,0,,
010067,010067,R FUTEBOL CLUBE S FRANCISCO (VILA AZUL),Rua Futebol Clube São Francisco ( Vila Azul ),38.731588,-8.965834,0,0,,
010068,010068,R FUTEBOL CLUBE S FRANCISCO (VILA AZUL),Rua Futebol Clube São Francisco ( Vila Azul ),38.731771,-8.966098,0,0,,
010069,010069,AV DOS BARRIS (PQ DESP DO VALBOM),Avenida Dos Barris ( Parque Desportivo Do Valbom ),38.745981,-8.966255,0,0,,
010071,010071,AV DOS BARRIS (ESCOLA SECUNDÁRIA),Avenida Dos Barris ( Escola Secundária ),38.74789,-8.964495,0,0,,
010075,010075,ESTR DO BREJO COMPRIDO 4307,Estrada Do Brejo Comprido 4307,38.688647,-8.914773,0,0,,
010077,010077,CM1123 (QTA DA FLOR),Caminho Municipal 1123 ( Quinta Da Flor ),38.69541,-8.916467,0,0,,
010079,010079,Avenida da Revolução 86,Avenida Da Revolução 86,38.753276,-8.960039,0,0,,
010080,010080,Avenida da Revolução 43,Avenida Da Revolução 43,38.753388,-8.959593,0,0,,
010081,010081,Rua do Salineiro (X) Rua Capitão Salgueiro Maia,Cruzamento Entre ( Rua Do Salineiro ) E Rua Capitão Salgueiro Maia,38.74924,-8.965488,0,0,,
010082,010082,Rua do Salineiro Frente 81,Rua Do Salineiro Frente Ao Número 81,38.749071,-8.965811,0,0,,
010083,010083,VALBOM (R CERRADINHO PRAIA),Valbom ( Rua Cerradinho Praia ),38.745965,-8.968585,0,0,,
