route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
C,1,C_1_1.C1,Cais do Sodré,1,shp1
C,1,C_1_1.C2,Telheiras,0,shp2
C,1,C_1_1.C3,Cais do Sodré,1,shp1
C,1,C_1_1.C4,Telheiras,0,shp2
C,1,C_1_1.C5,Cais do Sodré,1,shp1
C,1,C_1_1.C6,Telheiras,0,shp2
C,1,C_1_1.C7,Cais do Sodré,1,shp1
C,1,C_1_1.C8,Telheiras,0,shp2
C,1,C_1_1.C9,Cais do Sodré,1,shp1
C,1,C_1_1.C10,Telheiras,0,shp2
C,1,C_1_1.C11,Cais do Sodré,1,shp1
C,1,C_1_1.C12,Telheiras,0,shp2
C,1,C_1_1.C13,Cais do Sodré,1,shp1
C,1,C_1_1.C14,Telheiras,0,shp2
C,1,C_1_1.C15,Cais do Sodré,1,shp1
C,1,C_1_1.C16,Telheiras,0,shp2
C,1,C_1_1.C17,Cais do Sodré,1,shp1
C,1,C_1_1.C18,Telheiras,0,shp2
C,1,C_1_1.C19,Cais do Sodré,1,shp1
C,1,C_1_1.C20,Telheiras,0,shp2
C,1,C_1_1.C21,Cais do Sodré,1,shp1
C,1,C_1_1.C22,Telheiras,0,shp2
C,1,C_1_1.C23,Cais do Sodré,1,shp1
C,1,C_1_1.C24,Telheiras,0,shp2
C,1,C_1_1.C25,Cais do Sodré,1,shp1
C,1,C_1_1.C26,Telheiras,0,shp2
C,1,C_1_1.C27,Cais do Sodré,1,shp1
C,1,C_1_1.C28,Telheiras,0,shp2
C,1,C_1_1.C29,Cais do Sodré,1,shp1
C,1,C_1_1.C30,Telheiras,0,shp2
C,1,C_1_1.C31,Cais do Sodré,1,shp1
C,1,C_1_1.C32,Telheiras,0,shp2
C,1,C_1_1.C33,Cais do Sodré,1,shp1
C,1,C_1_1.C34,Telheiras,0,shp2
C,1,C_1_1.C35,Cais do Sodré,1,shp1
C,1,C_1_1.C36,Telheiras,0,shp2
C,1,C_1_1.C37,Cais do Sodré,1,shp1
C,2,C_2_1.C1,Cais do Sodré,1,shp1
C,2,C_2_1.C2,Telheiras,0,shp2
C,2,C_2_1.C3,Cais do Sodré,1,shp1
C,2,C_2_1.C4,Telheiras,0,shp2
C,2,C_2_1.C5,Cais do Sodré,1,shp1
C,2,C_2_1.C6,Telheiras,0,shp2
C,2,C_2_1.C7,Cais do Sodré,1,shp1
C,2,C_2_1.C8,Telheiras,0,shp2
C,2,C_2_1.C9,Cais do Sodré,1,shp1
C,2,C_2_1.C10,Telheiras,0,shp2
C,2,C_2_1.C11,Cais do Sodré,1,shp1
C,2,C_2_1.C12,Telheiras,0,shp2
C,2,C_2_1.C13,Cais do Sodré,1,shp1
C,2,C_2_1.C14,Telheiras,0,shp2
