service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BU,1,1,1,1,1,0,0,20260220,20260430
BexpU,1,1,1,1,1,0,0,20260220,20260430
CU,1,1,1,1,1,0,0,20260220,20260430
DU,1,1,1,1,1,0,0,20260220,20260430
FU,1,1,1,1,1,0,0,20260220,20260430
EU,1,1,1,1,1,0,0,20260220,20260430
AU,1,1,1,1,1,0,0,20260220,20260430
BDF,0,0,0,0,0,0,1,20260220,20260430
DDF,0,0,0,0,0,0,1,20260220,20260430
FDF,0,0,0,0,0,0,1,20260220,20260430
EDF,0,0,0,0,0,0,1,20260220,20260430
ADF,0,0,0,0,0,0,1,20260220,20260430
CDF,0,0,0,0,0,0,1,20260220,20260430
BS,0,0,0,0,0,1,0,20260220,20260430
DS,0,0,0,0,0,1,0,20260220,20260430
FS,0,0,0,0,0,1,0,20260220,20260430
ES,0,0,0,0,0,1,0,20260220,20260430
AS,0,0,0,0,0,1,0,20260220,20260430
CS,0,0,0,0,0,1,0,20260220,20260430
