route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,direction_id,shape_id
1M,DIAS UTEIS,1M_0_2|214|D1|T1|N2,Aliados,1,,1,1M_0_2|0
1M,DIAS UTEIS,1M_0_1|214|D1|T1|N3,Matosinhos (Praia),1,,0,1M_0_1|0
1M,DIAS UTEIS,1M_0_1|214|D1|T1|N5,Matosinhos (Praia),1,,0,1M_0_1|0
1M,DIAS UTEIS,1M_0_1|214|D1|T1|N7,Matosinhos (Praia),1,,0,1M_0_1|0
1M,DIAS UTEIS,1M_0_1|214|D1|T1|N9,Matosinhos (Praia),1,,0,1M_0_1|0
1M,DIAS UTEIS,1M_0_1|214|D1|T1|N11,Matosinhos (Praia),1,,0,1M_0_1|0
1M,DIAS UTEIS,1M_0_2|214|D1|T1|N4,Aliados,1,,1,1M_0_2|0
1M,DIAS UTEIS,1M_0_2|214|D1|T1|N6,Aliados,1,,1,1M_0_2|0
1M,DIAS UTEIS,1M_0_2|214|D1|T1|N8,Aliados,1,,1,1M_0_2|0
1M,DIAS UTEIS,1M_0_2|214|D1|T1|N10,Aliados,1,,1,1M_0_2|0
1M,DIAS UTEIS,1M_0_2|214|D1|T1|N12,Aliados,1,,1,1M_0_2|0
1M,SÁBADOS,1M_0_2|214|D2|T1|N2,Aliados,1,,1,1M_0_2|0
1M,SÁBADOS,1M_0_1|214|D2|T1|N3,Matosinhos (Praia),1,,0,1M_0_1|0
1M,SÁBADOS,1M_0_1|214|D2|T1|N5,Matosinhos (Praia),1,,0,1M_0_1|0
1M,SÁBADOS,1M_0_1|214|D2|T1|N7,Matosinhos (Praia),1,,0,1M_0_1|0
1M,SÁBADOS,1M_0_1|214|D2|T1|N9,Matosinhos (Praia),1,,0,1M_0_1|0
1M,SÁBADOS,1M_0_1|214|D2|T1|N11,Matosinhos (Praia),1,,0,1M_0_1|0
1M,SÁBADOS,1M_0_2|214|D2|T1|N4,Aliados,1,,1,1M_0_2|0
1M,SÁBADOS,1M_0_2|214|D2|T1|N6,Aliados,1,,1,1M_0_2|0
1M,SÁBADOS,1M_0_2|214|D2|T1|N8,Aliados,1,,1,1M_0_2|0
1M,SÁBADOS,1M_0_2|214|D2|T1|N10,Aliados,1,,1,1M_0_2|0
1M,SÁBADOS,1M_0_2|214|D2|T1|N12,Aliados,1,,1,1M_0_2|0
1M,DOMINGOS|FERIADOS,1M_0_2|214|D3|T1|N2,Aliados,1,,1,1M_0_2|0
1M,DOMINGOS|FERIADOS,1M_0_1|214|D3|T1|N3,Matosinhos (Praia),1,,0,1M_0_1|0
1M,DOMINGOS|FERIADOS,1M_0_1|214|D3|T1|N5,Matosinhos (Praia),1,,0,1M_0_1|0
1M,DOMINGOS|FERIADOS,1M_0_1|214|D3|T1|N7,Matosinhos (Praia),1,,0,1M_0_1|0
